Spell Name;Description 1;Description 2;Description 3;Description 4;Description 5;Description 6;Description 7;Description 8;Description 9;Description 10;Description 11;Description 12;Extra;Mana Drain;WAR;CLR;PAL;RNG;SHD;DRU;MNK;BRD;ROG;SHM;NEC;WIZ;MAG;ENC;BST;Casting Time;Fizzle Time;Recovery Time;Indoor/Outdoor;Time;Location;Skill;Duration;Dur Formula;AoE Duration;Pos/Neg;Category;Attrib 1;Min 1;Max 1;Calc 1;Attrib 2;Min 2;Max 2;Calc 2;Attrib 3;Min 3;Max 3;Calc 3;Attrib 4;Min 4;Max 4;Calc 4;Attrib 5;Min 5;Max 5;Calc 5;Attrib 6;Min 6;Max 6;Calc 6;Attrib 7;Min 7;Max 7;Calc 7;Attrib 8;Min 8;Max 8;Calc 8;Attrib 9;Min 9;Max 9;Calc 9;Attrib 10;Min 10;Max 10;Calc 10;Attrib 11;Min 11;Max 11;Calc 11;Attrib 12;Min 12;Max 12;Calc 12;Reagent 1;Quantity 1;Reageant 2;Quantity 2;Reageant 3;Quantity 3;Reageant 4;Quantity 4;Focus 1;Focus 2;Resistance;Target;Resist Adj;Gem;Range;AoE Range;Back Range;Up Range;Spell ID;You Cast;Someone Casts;Cast on You;Cast on Someone;Spell Fades;
Strip Enchantment;Cancel Magic;Cancel Magic;Cancel Magic;Cancel Magic;;;;;;;;;;70;61;61;61;61;61;61;61;61;61;61;61;61;61;24;61;3.50;2.25;5.0;;;None;Abjuration;0;0;0;0;Magic/Light;Cancel Magic;1;0;;Cancel Magic;1;0;;Cancel Magic;1;0;;Cancel Magic;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;25;2122;200;0;0;0;24;;;You feel very dispelled.; feels very dispelled.;;
Pillage Enchantment;Cancel Magic + 4 levels;Cancel Magic + 4 levels;Cancel Magic + 4 levels;Cancel Magic + 4 levels;;;;;;;;;;70;61;61;61;61;61;61;61;61;61;61;61;61;61;44;61;3.50;2.25;5.0;;;None;Abjuration;0;0;0;0;Magic/Light;Cancel Magic;4;0;;Cancel Magic;4;0;;Cancel Magic;4;0;;Cancel Magic;4;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;5;2122;200;0;0;0;25;;;You feel very dispelled.; feels very dispelled.;;
Skin like Wood;Increase Armor Class (AC) from 3 (L1) to 5 (L10);Increase Total Hit Points from 11 (L1) to 20 (L10);;;;;;;;;;;;10;61;61;61;9;61;1;61;61;61;61;61;61;61;61;61;3.0;2.25;6.0;;;None;Abjuration;270;11;0;0;Buffing;Armor Class (AC);10;15;min + level /  2;Total Hit Points;10;20;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2056;100;0;0;0;26;;;Your skin turns hard as wood.;'s skin turns hard as wood.;Your skin returns to normal.;
Pogonip;Decrease Hit Points (HP) by 77 (L24);;;;;;;;;;;;;125;61;61;61;61;61;24;61;61;61;61;61;61;61;61;61;3.50;2.50;12.0;;;None;Evocation;0;0;7500;0;DoT;Hit Points (HP);-77;62;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Cold;Target Based AoE;25;2064;150;20;0;0;27;;;You are sheathed in ice crystals.; is sheathed in ice crystals.;;
Avalanche;Decrease Hit Points (HP) by 125 (L39);;;;;;;;;;;;;200;61;61;61;61;61;39;61;61;61;61;61;61;61;61;61;5.0;2.50;12.0;;;None;Evocation;0;0;7500;0;DoT;Hit Points (HP);-125;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Cold;Target Based AoE;15;2064;150;20;0;0;28;;;You are entombed in ice.; is entombed in ice.;;
Ice;Decrease Current Hitpoints by 612 (L49);Decrease Fire Resist by 50 (L49);;;;;;;;;;;;250;61;61;61;61;61;49;61;61;61;61;61;61;61;61;61;6.10;2.50;12.0;;;None;Evocation;3;7;0;0;Frost Attack;Current Hitpoints;-612;612;;Fire Resist;-50;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Cold;All;0;2053;200;0;0;0;29;;;You are encased in frost.; is encased in frost.;;
Firework1;Decrease Stamina Loss by 1 (L1);;;;;;;;;;;;;0;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;2.50;0.0;0.0;;;None;Instantaneous;0;0;0;0;Firework 1;Stamina Loss;-1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Fire;Projectile Aim;0;2052;300;0;0;0;30;;;You light a firework.; lights a firework.;;
Scourge;Adding 4 Disease counters;DoT for 504 Hit Points (HP) in 21 ticks;Decrease Current Hitpoints by 40 (L34);;;;;;;;;;;170;61;61;61;61;61;61;61;61;61;34;39;61;61;61;61;4.60;2.50;0.0;;;None;Conjuration;21;10;0;0;Poison Atk;Disease;4;0;;Hit Points (HP);-24;0;;Current Hitpoints;-40;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Disease;All;15;2050;200;0;0;0;31;;;You feel feverish.; sweats and shivers, looking feverish.;Your fever has broken.;
Plague;Adding 9 Disease counters;DoT for 1155 Hit Points (HP) in 21 ticks;Decrease Current Hitpoints by 60 (L49);;;;;;;;;;;300;61;61;61;61;61;61;61;61;61;49;52;61;61;61;61;6.10;2.50;0.0;;;None;Conjuration;21;10;0;0;Poison Atk;Disease;9;0;;Hit Points (HP);-55;0;;Current Hitpoints;-60;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Disease;All;0;2050;200;0;0;0;32;;;You feel feverish.; sweats and shivers, looking feverish.;Your fever has broken.;
Brilliance;Increase Wisdom from 6 (L44) to 8 (L60);;Increase Intelligence from 12 (L44) to 14 (L52);;;;;;;;;;;125;61;61;61;61;61;61;61;61;61;61;61;61;61;44;61;4.25;2.25;0.0;;;None;Alteration;400;3;0;0;Attributes;Wisdom;1;12;min + level /  8;Charisma;0;0;;Intelligence;1;14;min + level /  4;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;5;2120;100;0;0;0;33;;;Your mind clears.; gains a flash of insight.;Your brilliance fades.;
Superior Camouflage;Invisibility;;;;;;;;;;;;;40;61;61;61;49;61;19;61;61;61;61;61;61;61;61;61;5.0;2.25;0.0;;;None;Divination;240;3;0;0;Invisi/Gate;Invisibility;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2115;100;0;0;0;34;;;You vanish.; fades away.;You appear.;
Bind Affinity;Bind Affinity;;;;;;;;;;;;;100;61;14;61;61;61;14;61;61;61;14;12;12;12;12;61;6.0;2.25;12.0;;;None;Alteration;0;0;0;0;Magic/Light;Bind Affinity;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2122;100;0;0;0;35;You cast Bind Affinity.; casts Bind Affinity.;You feel yourself bind to the area.; is bound to the area.;;
Gate;Gate Home;;;;;;;;;;;;;70;61;5;61;61;61;5;61;61;61;5;4;4;4;4;61;5.0;2.25;8.0;;;None;Alteration;0;0;0;0;Invisi/Gate;Gate Home;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Self;25;2112;0;0;0;0;36;;;; fades away.;;
Hammer of Striking;Summoning Hammer of Striking (Summoned);;;;;;;;;;;;;100;61;24;30;61;61;61;61;61;61;61;61;61;61;61;61;6.0;2.25;12.0;;;None;Conjuration;0;0;0;0;Summoning;Summon Item;6309;0;x 1;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Self;25;2106;0;0;0;0;37;;;A magical hammer appears in your hand.;;;
Lightning Bolt;Decrease Hit Points (HP) from 117 (L16) to 125 (L20);;;;;;;;;;;;;85;61;61;61;61;61;61;61;61;61;61;61;16;61;61;61;2.70;2.50;0.0;;;None;Evocation;0;0;0;0;Combustion;Hit Points (HP);-85;125;min + level *  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;Projectile Aim;25;2121;300;0;0;0;38;;;Your body spasms as the lightning bolt arcs through you.;'s body spasms as the lightning bolt arcs through them.;;
Quickness;Increase Attack Speed for between 28% (L16) to 30% (L20) in 110 ticks;;;;;;;;;;;;;80;61;61;61;61;61;61;61;61;61;29;61;61;61;16;61;3.10;2.25;0.0;;;None;Alteration;110;9;0;0;Root;Attack Speed;120;130;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2054;100;0;0;0;39;;;You feel much faster.; feels much faster.;Your speed returns to normal.;
Strengthen;Increase Strength from 5 (L1) to 10 (L6);;;;;;;;;;;;;10;61;61;61;61;61;61;61;61;61;1;61;61;61;1;15;2.0;2.25;0.0;;;None;Alteration;270;11;0;0;Attributes;Strength;4;10;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2124;100;0;0;0;40;;;You feel stronger.; looks stronger.;Your strength fades.;
Weaken;Decrease Strength from 10 (L1) to 15 (L10);;;;;;;;;;;;;8;61;61;61;61;61;61;61;61;61;61;61;61;61;1;61;1.50;2.25;0.0;;;None;Alteration;60;8;0;0;Lifeforce;Strength;-10;15;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;25;2125;200;0;0;0;41;;;You feel weaker.; weakens.;Your weakness fades.;
Invisibility;Invisibility;;;;;;;;;;;;;30;61;61;61;61;61;61;61;61;61;29;61;16;8;4;49;5.0;2.25;0.0;;;None;Divination;200;3;0;0;Invisi/Gate;Invisibility;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2115;100;0;0;0;42;;;You vanish.; fades away.;You appear.;
Yaulp II;;Increase Armor Class (AC) by 9 (L19);Increase Strength by 20 (L19);Decrease Stamina Loss by 1 (L19);;;;;;;;;;15;61;19;39;61;61;61;61;61;61;61;61;61;61;61;61;0.50;2.25;18.0;;;None;Abjuration;3;8;0;0;Attributes;Charisma;0;0;;Armor Class (AC);30;0;;Strength;20;0;;Stamina Loss;-1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Self;25;2113;0;0;0;0;43;;;You feel a surge of strength as you let forth a mighty yaulp.; lets loose a mighty yaulp.;Your surge of strength fades.;
Yaulp III;;Increase Armor Class (AC) by 12 (L44);Increase Strength by 30 (L44);Decrease Stamina Loss by 7 (L44);;;;;;;;;;25;61;44;56;61;61;61;61;61;61;61;61;61;61;61;61;0.50;2.25;12.0;;;None;Abjuration;3;8;0;0;Attributes;Charisma;0;0;;Armor Class (AC);40;0;;Strength;30;0;;Stamina Loss;-7;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Self;5;2113;0;0;0;0;44;;;You feel a surge of strength as you let forth a mighty yaulp.; lets loose a mighty yaulp.;Your surge of strength fades.;
Pacify;Change Frenzy Radius to 1 feet;Change Reaction Radius to 1 feet;Lower Aggression;;;;;;;;;;;100;61;39;51;61;61;61;61;61;61;61;61;61;61;39;61;3.0;2.25;6.0;;;None;Alteration;0;8;0;0;Calm;Frenzy Radius;1;0;;Reaction Radius;1;0;;Lower Aggression;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;15;2059;200;0;0;0;45;;;You feel your aggression subside.; looks less aggressive.;;
Ultravision;Ultravision;;;;;;;;;;;;;55;61;61;61;61;61;61;61;61;61;29;61;61;61;29;51;5.0;2.25;0.0;;;None;Divination;360;3;0;0;Sense;Ultravision;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2115;100;0;0;0;46;;;Your eyes tingle.;'s eyes glow violet.;Your ultravision fades.;
Calm;Change Frenzy Radius to 5 feet;Change Reaction Radius to 5 feet;Lower Aggression;;;;;;;;;;;50;61;19;49;61;61;61;61;61;61;61;61;61;61;20;61;2.50;2.25;5.0;;;None;Alteration;30;8;0;0;Calm;Frenzy Radius;5;0;;Reaction Radius;5;0;;Lower Aggression;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;25;2059;200;0;0;0;47;;;You feel your aggression subside.; looks less aggressive.;;
Cancel Magic;Cancel Magic;;;;;;;;;;;;;30;61;14;39;30;39;19;61;61;61;19;16;12;12;8;61;3.50;2.25;5.0;;;None;Abjuration;0;0;0;0;Magic/Light;Cancel Magic;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2122;200;0;0;0;48;;;You feel a bit dispelled.; feels a bit dispelled.;;
Nullify Magic;Cancel Magic + 4 levels;Cancel Magic + 4 levels;;;;;;;;;;;;50;61;39;58;58;58;44;61;61;61;44;39;34;34;29;58;4.50;2.25;6.0;;;None;Abjuration;0;0;0;0;Magic/Light;Cancel Magic;4;0;;Cancel Magic;4;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;5;2122;200;0;0;0;49;;;You feel dispelled.; feels dispelled.;;
Summon Food;Summoning Black Bread (Summoned);;;;;;;;;;;;;10;61;9;61;61;61;14;61;61;61;9;61;61;1;61;30;4.0;2.25;0.0;;;None;Conjuration;0;0;0;0;Summoning;Summon Item;13078;0;x 1;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Self;25;2106;0;0;0;0;50;;;;;;
