'Test''Test1''Spell Name','Description 1','Description 2','Description 3','Description 4','Extra','Mana Drain','WAR','CLR','PAL','RNG','SHD','DRU','MNK','BRD','ROG','SHM','NEC','WIZ','MAG','ENC','Casting Time','Fizzle Time','Recovery Time','Indoor/Outdoor','Location','Skill','Duration','Dur Formula','AoE Duration','Pos/Neg','Category','Attrib 1','Min 1','Max 1','Calc 1','Attrib 2','Min 2','Max 2','Calc 2','Attrib 3','Min 3','Max 3','Calc 3','Attrib 4','Min 4','Max 4','Calc 4','Reagent 1','Quantity 1','Reageant 2','Quantity 2','Reageant 3','Quantity 3','Reageant 4','Quantity 4','Focus 1','Focus 2','Resistance','Target','Resist Adj','Gem','Range','AoE Range','Back Range','Up Range'
'Nature's Wrath','Decrease Hit Points (HP) from 102 (L1) to 110 (L5)','','','','','145','61','61','61','61','61','61','61','61','61','61','61','61','61','61','3.50','2.50','6.0','','None','Instantaneous','0','0','0.0','44','Striking','Hit Points (HP)','-100','110','min + level *  2','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','25','2119','200','0','1','0',
'Soul Bond','','','Hit Points (HP) - Unknown Formula','','','360','61','61','61','61','61','61','61','61','61','61','61','61','61','61','7.0','2.50','10.0','','None','Alteration','9','2','0.0','44','Pain','Charisma','0','0','','Charisma','0','0','','Hit Points (HP)','1','0','120','','0','0','','','1','','1','','1','','1','','','Magic','Drain','0','2083','200','0','0','0',
'Summon: Guardian of the Vale','Summons a ValeGuardian','','','','ValeGuardian','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Instantaneous','0','0','0.0','43','Summoning','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','0','2106','0','0','0','0',
'One Hundred Blows','Spin Target','Decrease Current Hitpoints by 120 (L1)','','','','55','61','61','61','61','61','61','61','61','61','61','61','61','61','61','2.50','2.25','6.50','','None','Instantaneous','2','1','0.0','64','Root','Spin Target','1','0','','Current Hitpoints','-120','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','25','2054','200','0','0','0',
'Melodious Befuddlement','Stun','Wipe Hate List','','','','20','61','61','61','61','61','61','61','61','61','61','61','61','61','61','2.50','2.25','0.0','','None','Instantaneous','1','7','0.0','42','Calm','Stun','1','0','','Wipe Hate List','1','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','25','2059','200','0','0','0',
'Stunning Blow','Stuns target for 6.0 (L1) seconds','Decrease Hit Points (HP) from 11 (L1) to 60 (L50)','','','','60','61','61','61','61','61','61','61','61','61','61','61','61','61','61','2.0','2.50','18.0','','None','Instantaneous','0','0','0.0','44','Stun','Stuns','6000','0','','Hit Points (HP)','-10','60','min + level','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','25','2059','200','0','0','0',
'Fungal Regrowth','Regeneration for between 250 (L1) to 750 (L20) Hit Points (HP) in 50 ticks','Decrease Movement by -90% (L1)','','','','100','61','61','61','61','61','61','61','61','61','61','61','61','61','61','6.0','2.50','0.0','','None','Alteration','50','9','0.0','43','Healing','Hit Points (HP)','5','15','min + level /  2','Movement','-10','-90','min + level /  2','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','25','2051','100','0','0','0',
'Symphonic Harmony','Lowers you on the target's hate list by -100','','','','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','3.0','0.0','0.0','','None','Wind Instruments','0','0','0.0','41','Bard Healing','Lower Hate','-100','0','min + level /  2','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','0','2059','100','0','0','0',
'The Breaking','Summoning Heart','Summoning Soul','','','','50','61','61','61','61','61','61','61','61','61','61','61','61','61','61','4.0','2.25','0.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Item','5639','0','','Summon Item','5640','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','0','2106','0','0','0','0',
'Shrieking Howl','Stuns target for 4.0 (L1) seconds','Decrease Hit Points (HP) by 120 (L1)','','','','120','61','61','61','61','61','61','61','61','61','61','61','61','61','61','3.0','2.50','24.0','','None','Evocation','0','0','0.0','44','Stun','Stuns','4000','0','','Hit Points (HP)','-120','120','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','0','2059','200','0','5','0',
'Storm Strike','Decrease Hit Points (HP) from 102 (L1) to 155 (L28)','Stuns target','','','','175','61','61','61','61','61','61','61','61','61','61','61','61','61','61','3.15','2.50','12.0','','None','Evocation','0','0','0.0','44','Striking','Hit Points (HP)','-100','155','min + level *  2','Stuns','1','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','25','2088','0','0','1','0',
'Froglok Poison','Adding 3 Poison counters','Decrease Current Hitpoints by 80 (L1)','DoT for 80 Hit Points (HP) in 4 ticks','','','100','61','61','61','61','61','61','61','61','61','61','61','61','61','61','3.10','2.50','0.0','','None','Conjuration','4','1','0.0','44','Poison Atk','Poison','3','0','','Current Hitpoints','-80','0','','Hit Points (HP)','-20','0','','','0','0','','','1','','1','','1','','1','','','Poison','All','25','2049','200','0','0','0',
'Conjure Corpse','Summon Corpse','','','','','700','61','61','61','61','61','61','61','61','61','61','57','61','61','61','5.0','2.25','12.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Corpse','1','0','','','0','0','','','0','0','','','0','0','','Tiny Jaid Inlaid Coffin','1','','1','','1','','1','','','None','Self','20','2106','10000','0','0','0',
'Mala','Decrease Fire Resist by 35 (L60)','Decrease Cold Resist by 35 (L60)','Decrease Magic Resist by 35 (L60)','Decrease Poison Resist by 35 (L60)','','350','61','61','61','61','61','61','61','61','61','61','61','61','60','61','5.0','2.25','10.0','','None','Alteration','0','9','0.0','42','Lifeforce','Fire Resist','-10','35','min + level','Cold Resist','-10','35','min + level','Magic Resist','-10','35','min + level','Poison Resist','-10','35','min + level','','1','','1','','1','','1','','','None','All','0','2116','200','0','0','0',
'Call of the Hero','Summon Player','','','','','500','61','61','61','61','61','61','61','61','61','61','61','61','55','61','12.0','4.0','15.0','','None','Conjuration','0','0','0.0','43','Invisi/Gate','Summon Player','1','0','','','0','0','','','0','0','','','0','0','','Pearl','1','','1','','1','','1','','','None','All','0','2117','20000','0','0','0',
'Rage of Zomm','Summons a Burnout','','','','Burnout','200','61','61','61','61','61','61','61','61','61','61','61','61','55','61','8.0','2.25','120.0','','None','Conjuration','0','0','0.0','43','Combustion','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','0','2106','0','0','0','0',
'Lure of Ice','Very Hard to Resist','Decrease Hit Points (HP) by 825 (L60)','','','','320','61','61','61','61','61','61','61','61','61','61','61','60','61','61','4.50','2.50','0.0','','None','Evocation','0','0','0.0','44','Freezing','Charisma','-5','0','','Hit Points (HP)','-825','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Cold','All','0','2053','200','0','0','0',
'Sacrifice','Sacrifice','','','','','100','61','61','61','61','61','61','61','61','61','61','51','61','61','61','5.0','2.25','0.0','','None','Alteration','8','0','0.0','44','Fear','Sacrifice','1','0','','','0','0','','','0','0','','','0','0','','Emerald','1','','1','','1','','1','','','None','All','0','2118','100','0','0','0',
'Bonds of Tunare','','Decrease Movement by 65% (L57)','','','','115','61','61','61','61','61','57','61','61','61','61','61','61','61','61','2.0','2.25','0.0','','None','Alteration','18','1','0.0','43','Root','Charisma','0','0','','Movement','-35','65','min + level','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','NPC','0','2118','200','30','0','0',
'Solon's Charismatic Concord','Increase Charisma by 45 (L59)','','','','','0','61','61','61','61','61','61','61','59','61','61','61','61','61','61','3.0','0.0','0.0','','None','Singing','0','5','0.0','43','Bard Buffing','Charisma','45','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Full Group','0','2080','0','100','0','0',
'Denon`s Bereavement','Adding 4 Poison counters','Decrease Hit Points (HP) by 30 (L59)','Stuns target','Decrease Magic Resist by 15 (L59)','','0','61','61','61','61','61','61','61','59','61','61','61','61','61','61','3.0','0.0','0.0','','None','Stringed Instruments','0','5','0.0','40','Bard Attack','Poison','4','0','','Hit Points (HP)','-30','0','','Stuns','1','0','','Magic Resist','-15','0','','','1','','1','','1','','1','','','Poison','Point Blank AoE','0','2060','0','35','0','0',
'Niv`s Harmonic','','Increase Armor Class (AC) by 24 (L58)','','','','0','61','61','61','61','61','61','61','58','61','61','61','61','61','61','3.0','0.0','0.0','','None','Singing','0','5','0.0','43','Bard Buffing','Unknown 4E','10','0','','Armor Class (AC)','80','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Full Group','0','2067','0','75','0','0',
'Jonthan's Inspiration','Increase Attack Speed for between 32% (L58) to 33% (L60)','Increase Strength from 17 (L58) to 18 (L60)','Increase Absorb Damage from 17 (L58) to 18 (L60)','Increase Attack (ATK) from 15 (L58) to 16 (L60)','','0','61','61','61','61','61','61','61','58','61','61','61','61','61','61','3.0','0.0','0.0','','None','Brass Instruments','0','5','0.0','41','Bard Buffing','Attack Speed','103','166','min + level /  2','Strength','3','36','min + level /  4','Absorb Damage','3','36','min + level /  4','Attack (ATK)','4','24','min + level /  5','','1','','1','','1','','1','','','None','All','0','2124','150','0','0','0',
'Cassindra's Insipid Ditty','Decrease Mana from 15 (L57) to 16 (L60)','Decrease Intelligence from 15 (L57) to 16 (L60)','Decrease Wisdom from 15 (L57) to 16 (L60)','','','0','61','61','61','61','61','61','61','57','61','61','61','61','61','61','3.0','0.0','0.0','','None','Stringed Instruments','0','5','0.0','40','Bard Attack','Mana','-1','0','min + level /  4','Intelligence','-1','0','min + level /  4','Wisdom','-1','0','min + level /  4','','0','0','','','1','','1','','1','','1','','','Magic','All','0','2059','100','0','0','0',
'McVaxius` Rousing Rondo','Increase Attack Speed for between 21% (L57) to 22% (L60)','Strength - Unknown Formula','Increase Attack (ATK) from 13 (L57) to 14 (L60)','Damage Shield by 8 (L57)','','0','61','61','61','61','61','61','61','57','61','61','61','61','61','61','3.0','0.0','0.0','','None','Brass Instruments','0','5','0.0','41','Bard Buffing','Attack Speed','110','140','min + level /  5','Strength','1','0','121','Attack (ATK)','2','0','min + level /  5','Damage Shield','-8','0','','','1','','1','','1','','1','','','Fire','Full Group','0','2080','0','60','0','0',
'Cantana of Replenishment','Increase Hit Points (HP) from 11 (L55) to 12 (L60)','Increase Mana from 12 (L55) to 13 (L60)','Decrease Stamina Loss by 10 (L55)','','','0','61','61','61','61','61','61','61','55','61','61','61','61','61','61','3.0','0.0','0.0','','None','Stringed Instruments','0','5','0.0','40','Clarity','Hit Points (HP)','5','0','min + level /  8','Mana','1','0','min + level /  5','Stamina Loss','-10','0','','','0','0','','','1','','1','','1','','1','','','None','Full Group','0','2076','0','60','0','0',
'Selo`s Assonait Strane','Decrease Movement between 43% (L54) to 45% (L60)','Decrease Attack Speed for between 23% (L54) to 25% (L60)','','','','0','61','61','61','61','61','61','61','54','61','61','61','61','61','61','3.0','0.0','0.0','','None','Stringed Instruments','0','5','0.0','40','Bard Attack','Movement','-30','0','min + level /  4','Attack Speed','90','0','min + level /  4','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Point Blank AoE','0','2065','0','35','0','0',
'Vilia`s Chorus of Celerity','Increase Attack Speed by 45% (L54)','','','','','0','61','61','61','61','61','61','61','54','61','61','61','61','61','61','3.0','0.0','0.0','','None','Singing','0','5','0.0','43','Bard Buffing','Attack Speed','145','145','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Full Group','0','2080','0','70','0','0',
'Song of Midnight','Fear','Decrease Hit Points (HP) by 8 (L56)','Increase Movement by 45% (L56)','','','0','61','61','61','61','61','61','61','56','61','61','61','61','61','61','3.0','0.0','0.0','','None','Brass Instruments','0','5','0.0','41','Bard Attack','Fear','1','0','','Hit Points (HP)','-1','0','min + level /  8','Movement','45','0','','','0','0','','Horn','1','','1','','1','','1','','','Magic','Point Blank AoE','0','2083','0','35','0','0',
'Song of Highsun','Cancel Magic + 9 levels','Cancel Magic + 9 levels','Stuns target','Shadow Step','','0','61','61','61','61','61','61','61','56','61','61','61','61','61','61','3.0','0.0','0.0','','None','Wind Instruments','0','0','0.0','41','Bard Healing','Cancel Magic','9','0','','Cancel Magic','9','0','','Stuns','1','0','','Shadow Step','1','0','','Flute','1','','1','','1','','1','','','Magic','All','0','2122','75','0','0','0',
'Song of Dawn','Lowers you on the target's hate list by -155','','','','','0','61','61','61','61','61','61','61','53','61','61','61','61','61','61','3.0','0.0','0.0','','None','Wind Instruments','0','0','0.0','41','Bard Healing','Lower Hate','-155','0','min + level /  2','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','All','0','2059','100','0','0','0',
'Song of Twilight','Stun','Decrease Magic Resist from 14 (L53) to 16 (L60)','','','','0','61','61','61','61','61','61','61','53','61','61','61','61','61','61','3.0','0.0','0.0','','None','Wind Instruments','0','5','0.0','41','Bard Attack','Stun','1','0','','Magic Resist','-1','0','min + level /  4','','0','0','','','0','0','','Flute','1','','1','','1','','1','','','Magic','All','0','2119','100','0','4','0',
'Nillipus` March of the Wee','Increase Armor Class (AC) by 10 (L52)','','Increase Agility by 18 (L52)','Increase Absorb Damage by 12 (L52)','','0','61','61','61','61','61','61','61','52','61','61','61','61','61','61','3.0','0.0','0.0','','None','Percussion Instruments','0','5','0.0','39','Bard Buffing','Armor Class (AC)','32','0','','Charisma','0','0','','Agility','18','0','','Absorb Damage','12','0','','','1','','1','','1','','1','','','None','Full Group','0','2080','0','50','0','0',
'Largo`s Absonant Binding','Decrease Armor Class (AC) from 16 (L51) to 18 (L60)','Decrease Attack Speed for between 30% (L51) to 35% (L60)','Decrease Movement between 52% (L51) to 61% (L60)','Decrease Agility from 45 (L51) to 50 (L60)','','0','61','61','61','61','61','61','61','51','61','61','61','61','61','61','3.0','0.0','0.0','','None','Singing','0','5','0.0','43','Bard Buffing','Armor Class (AC)','-1','0','min + level','Attack Speed','95','0','min + level /  2','Movement','-1','0','min + level','Agility','-20','0','min + level /  2','','1','','1','','1','','1','','','Magic','All','0','2054','100','0','0','0',
'Selo`s Song of Travel','Increase Movement by 66% (L51)','Invisibility','See Invisible','Levitate','','0','61','61','61','61','61','61','61','51','61','61','61','61','61','61','3.0','0.0','0.0','Outdoor','None','Percussion Instruments','0','5','0.0','39','Bard Healing','Movement','15','66','min + level','Invisibility','1','0','','See Invisible','1','0','','Levitate','1','0','','','1','','1','','1','','1','','','None','Full Group','0','2010','0','250','0','0',
'Kazumi's Note of Preservation','Divine Aura','','','','','0','61','61','61','61','61','61','61','60','61','61','61','61','61','61','3.0','0.0','180.0','','None','Wind Instruments','0','5','0.0','40','Buffing','Divine Aura','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Full Group','0','2080','0','75','0','0',
'Angstlich's Assonance','Decrease Attack Speed by 31% (L60)','DoT for 250 Hit Points (HP) in 10 ticks','','','','0','61','61','61','61','61','61','61','60','61','61','61','61','61','61','3.0','0.0','12.0','','None','Brass Instruments','10','1','0.0','41','Stun','Attack Speed','99','0','min + level /  2','Hit Points (HP)','-25','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','0','2124','150','0','0','0',
'Brusco`s Bombastic Bellow','Stuns target for 8.0 (L55) seconds','Increase Hit Points (HP) by 222 (L55)','','','','0','61','61','61','61','61','61','61','55','61','61','61','61','61','61','3.0','0.0','300.0','','None','Singing','0','0','0.0','43','Bard Attack','Stuns','8000','0','','Hit Points (HP)','222','0','','','0','0','','','0','0','','Horn','1','','1','','1','','1','','','Magic','All','0','2119','100','0','1','0',
'Calefaction','Decrease Hit Points (HP) from 444 (L44) to 450 (L50)','','','','','250','61','61','61','59','61','44','61','61','61','61','61','61','61','61','2.50','2.50','45.0','','None','Evocation','0','0','0.0','44','Fire Attack','Hit Points (HP)','-400','450','min + level','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Fire','All','0','2052','200','0','0','0',
'Evacuate: SE','Evacuate to location -3685,1209 in Northern Plains of Karana','','','','northkarana','300','61','61','61','61','61','61','61','61','61','61','61','61','61','61','9.0','2.25','0.0','','None','Alteration','0','0','0.0','43','Group Gate','Evacuate','-3685','0','','','1209','0','','','-5','0','','','256','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Evacuate: NE','Evacuate to location -3685,1209 in Northern Plains of Karana','','','','northkarana','300','61','61','61','61','61','61','61','61','61','61','61','61','61','61','9.0','2.25','0.0','','None','Alteration','0','0','0.0','43','Group Gate','Evacuate','-3685','0','','','1209','0','','','-5','0','','','256','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Succor: SE','Evacuate to location -3685,1209 in Northern Plains of Karana','','','','northkarana','300','61','61','61','61','61','61','61','61','61','61','61','61','61','61','9.0','2.25','0.0','','None','Alteration','0','0','0.0','43','Group Gate','Evacuate','-3685','0','','','1209','0','','','-5','0','','','256','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Succor: NE','Evacuate to location -3685,1209 in Northern Plains of Karana','','','','northkarana','300','61','61','61','61','61','61','61','61','61','61','61','61','61','61','9.0','2.25','0.0','','None','Alteration','0','0','0.0','43','Group Gate','Evacuate','-3685','0','','','1209','0','','','-5','0','','','256','0','','','1','','1','','1','','1','','','None','Full Group','25','2079','0','100','0','0',
'Trucidation','Decrease Hit Points (HP) by 1100 (L60) and adds it to yours','','','','','375','61','61','61','61','61','61','61','61','61','61','60','61','61','61','5.90','2.50','900.0','','None','Alteration','0','0','0.0','64','Lifeforce','Hit Points (HP)','-1100','1100','','','0','0','','','0','0','','','0','0','','Essence Gem','1','','1','','1','','1','','','Magic','Drain','0','2116','200','0','0','0',
'Infusion','Increase Mana by 1000 (L55)','','','','','1','61','61','61','61','61','61','61','61','61','61','55','61','61','61','3.0','2.25','600.0','','None','Alteration','0','0','0.0','44','Clarity','Mana','1000','0','','','0','0','min + level /  5','','0','0','','','0','0','','Essence Gem','1','','1','','1','','1','','','None','Self','0','2120','0','0','0','0',
'Convergence','Resurrection - Regain 93% of experience','','','','','700','61','61','61','61','61','61','61','61','61','61','53','61','61','61','6.0','2.25','20.0','','None','Alteration','0','0','0.0','43','Healing','Resurrection','93','0','','','0','0','','','0','0','','','0','0','','Essence Gem','1','','1','','1','','1','','','None','Corpse','0','2051','200','0','0','0',
'Illusion: Male','Illusion: 6','','','','','10','61','61','61','61','61','61','61','61','61','61','61','61','61','4','3.0','2.25','6.0','','None','Divination','360','3','0.0','43','Illusion','Illusion','-1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2111','0','0','0','0',
'Illusion: Female','Illusion: 6','','','','','10','61','61','61','61','61','61','61','61','61','61','61','61','61','4','3.0','2.25','6.0','','None','Divination','360','3','0.0','43','Illusion','Illusion','-1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2111','0','0','0','0',
'Illusion: Gender','','Illusion: 6','','','','10','61','61','61','61','61','61','61','61','61','61','61','61','61','4','3.0','2.25','6.0','','None','Divination','360','3','0.0','43','Illusion','Charisma','0','0','','Illusion','-1','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2111','0','0','0','0',
'Augment','Increase Attack Speed for between 43% (L56) to 45% (L60) in 360 ticks','Increase Agility from 33 (L56) to 35 (L60)','Increase Armor Class (AC) from 17 (L56) to 18 (L60)','Decrease Stamina Loss by 3 (L56)','','200','61','61','61','61','61','61','61','61','61','61','61','61','61','56','5.0','2.25','0.0','','None','Alteration','360','3','0.0','43','Attributes','Attack Speed','115','0','min + level /  2','Agility','5','0','min + level /  2','Armor Class (AC)','1','0','min + level','Stamina Loss','-3','0','','','1','','1','','1','','1','','','None','All','0','2124','100','0','0','0',
'Manasink','','','','','','200','61','61','61','61','61','61','61','61','61','61','61','58','61','61','4.50','2.25','9.0','','None','Abjuration','720','3','0.0','42','Buffing','Unknown 4E','250','250','','','0','0','','','0','0','','','0','0','','Jasper','1','','1','','1','','1','','','None','Self','25','2045','0','0','0','0',
'Legacy of Spike','Damage Shield by 20 (L51)','','','','','300','61','61','61','61','61','51','61','61','61','61','61','61','61','61','3.0','2.25','0.0','','None','Abjuration','0','7','0.0','42','Buffing','Damage Shield','-20','20','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','Full Group','0','2013','0','60','0','0',
'Sunskin','Invisible to Undead','','','','','120','61','51','61','61','61','61','61','61','61','61','61','61','61','61','4.0','2.25','6.0','','None','Divination','270','3','0.0','42','Invisi/Gate','Invisible to Undead','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Full Group','0','2071','0','60','0','0',
'Wake of Karana','Stops the rain/snow in the current zone','','','','','400','61','61','61','61','61','56','61','61','61','61','61','61','61','61','7.0','5.0','720.0','','None','Alteration','0','0','0.0','43','Dizzying','Change Weather','1','0','','','0','0','','','0','0','','','0','0','','Opal','1','','1','','1','','1','','','Magic','Self','0','2132','0','0','0','0',
'Disintegrate','Destroy Target','','','','','650','61','61','61','61','61','61','61','61','61','61','61','60','61','61','4.0','3.50','120.0','','None','Evocation','0','0','0.0','44','Combustion','Destroy Target','1','0','','','0','0','','','0','0','','','0','0','','Opal','1','','1','','1','','1','','','Magic','All','5','2119','200','0','0','0',
'Zumaik`s Animation','Summons a Animation Type 14','','','','Animation14','350','61','61','61','61','61','61','61','61','61','61','61','61','61','55','12.0','2.25','24.0','','None','Conjuration','0','0','0.0','43','Animation','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','Tiny Daggers','3','','1','','1','','1','','','None','Self','0','2106','0','0','0','0',
'Flaming Sword of Xuzl','Summons a SumSword','','','','SumSword','700','61','61','61','61','61','61','61','61','61','61','61','59','61','61','5.0','2.25','60.0','','None','Conjuration','0','0','0.0','43','Combustion','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','0','2106','0','0','0','0',
'Unswerving Hammer of Faith','Summons a SumHammer','','','','SumHammer','600','61','54','61','61','61','61','61','61','61','61','61','61','61','61','6.0','2.25','0.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Pet','1','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','0','2106','0','0','0','0',
'Eye of Tallon','Summons a Eye of Zomm','Invisibility','Increase Magnification by 120% (L57)','See Invisible','SummonEye','65','61','61','61','61','61','61','61','61','61','61','61','57','57','61','6.0','2.25','10.0','','None','Conjuration','5','7','0.0','61','Sense','Eye of Zomm','1','0','','Invisibility','1','0','','Magnification','120','0','','See Invisible','1','0','','','1','','1','','1','','1','','','None','Self','0','2104','5','0','0','0',
'Engorging Roots','Root','Decrease Current Hitpoints from 178 (L56) to 190 (L60)','','','','75','61','61','61','61','61','56','61','61','61','61','61','61','61','61','1.75','2.25','0.0','','None','Alteration','30','2','0.0','44','Root','Movement','-10000','0','','Current Hitpoints','-10','0','min + level *  3','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','0','2118','200','0','0','0',
